text,date
"When I go on the world tour, I meet Cosplayers from all over the world. Strangely enough there’s no one specific character they cos but the varieties. Sam, Cliff, Frangile, Amelie, Higgs, Mama, Deadman, Heartman, Diehardman. No.1 I see is Fragile cos &amp; many female does Cliff cos. https://t.co/tOARZwkgPw",2019/11/21 8:14
"Good morning.

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/YYOqMqsLCg",2019/11/21 7:57
Since I want to hear Alicia Vikander’s fluent Japanese I’m going to watch EARTHQUAKE BIRD now. https://t.co/82Ve5dx2c9,2019/11/20 23:49
"Received the book of the architect, BORIS VELIKOVSKY from Sergei Kolobashkin. Thank you very much. https://t.co/ajOXtWcP5V",2019/11/20 18:13
"Mamoru Oshii(Ghost In The Shell) talks about DEATH STRANDING. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?    
#TomorrowIsInYourHands https://t.co/buJovmKtYi",2019/11/20 17:24
"Creative Director, Jenova Chen known as Flower, Journey, and Sky has visited Kojima Productions. Thank you very much for the special gift. ?????? https://t.co/mwVWrVwoGS",2019/11/20 13:40
"Dear Sam “Porter” Bridges in the world, thank you for delivering packages. I know you are still in middle of connecting the world but DEATH STRANDING has been nominated The Game Awards. Thank you very much. You can vote from here. 
https://t.co/vXStBWVEJX https://t.co/mPPPg8xq1H",2019/11/20 13:13
Good morning https://t.co/0q4Q8pzm11,2019/11/20 8:27
"The hoodie I received from the fan. Thank you very much, it is very warm. Got connected.

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding    
#TomorrowIsInYourHands https://t.co/glk6yXcheu",2019/11/19 15:38
So happy to receive the early Christmas gift from Kawaguchi-san of Sony. walkman 40th anniversary model! Thank you very much! The walkman that changed my life and changed how I see the world 40 years ago!!! https://t.co/ELQRVX6oSK,2019/11/19 11:20
"Dear Sam Porter Bridges in the world, thanks for connecting everyone. I know there’s Sam who’s still delivering, became a delivery addicted, building the highway, anxiouo about the story. It’s replayable even once finished. You play alone but not entirely alone. Be connected? https://t.co/uHIt5wYNJK",2019/11/19 11:16
"How is your “BB (Baby)” doing? Are you guys connecting?

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/3cHvVOx7uL",2019/11/19 8:08
Good morning https://t.co/aEoThvW0bS,2019/11/19 8:07
"There’s no explanation about each type of BT in DS. But as same as the Facehugger or Chestburster in Alien, we internally name them. Gazer who floats in the air, Hunter who drags you in to the tar ground and the giant creature is called Catcher. https://t.co/Ih1UZsEedt",2019/11/18 21:24
"Dear Sam in the world, thanks for delivering packages. I see many of you have been finishing the game. Which character do you like or feel sympathy with?
TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/N4BwNteAfN",2019/11/18 9:54
"Good morning.

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/NZu4Z7OUCL",2019/11/18 9:22
"Thanks to Sony Singapore team for your support today! 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding https://t.co/oU2MJm3cDI",2019/11/18 1:02
"Looks like a highway. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding??????
#TomorrowIsInYourHands https://t.co/oiiU5TVXVI",2019/11/17 15:04
"Wanna build the highway. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/r9ZmmFLSea",2019/11/17 13:47
"Are you connecting?

Are you connected?

Have you been connected? 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/KMjvJoQlbm",2019/11/17 9:43
"On my way!

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/qw2poVLxle",2019/11/16 15:36
"Nakamura-kun, the member of cinematic team who will come along with us throughout the World Strand Tour in Asia. He will film and edit by iPhone. Stay tuned.
TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/pKOkfwwMwT",2019/11/16 8:13
"Dear Sam Porter Bridges all over the world, you’re doing good work of connecting chiral network, making delivery &amp; building highway. For those who finished the story or who addicted to delivery pls enjoy the DS over the weekend.
TOMORROW IS IN YOUR HANDS.
#DeathStranding https://t.co/V1awab3k5K",2019/11/16 7:15
"Good morning.

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/0w5zzneqA5",2019/11/16 7:09
"How ""Death Stranding""?with Norman Reedus bridges the gap between videogames and cinema https://t.co/Hr0OXCnmIK",2019/11/15 14:57
"Do you like BB?

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/RudodjAsiX",2019/11/15 12:38
"Dear fans of Norman, Mads, or movie lovers, are you enjoying DEATH STRANDING? I hope you start liking the game medium as much as the film. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/ND5z71jPxB",2019/11/15 8:26
Good morning https://t.co/xruyxpPc50,2019/11/15 8:22
"It’s been a week since the DEATH STRANDING launch. Thanks too all people who are playing DS as Sam “Porter” Bridges. And thanks for your support. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/4qUzByKXMS",2019/11/15 0:35
Sign? https://t.co/PcqThwlaNn,2019/11/14 17:02
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/vXXfAopJRI",2019/11/14 14:47
Bought. https://t.co/ZG5Br09uux,2019/11/14 13:05
Bought. https://t.co/6nyQsDIo2u,2019/11/14 13:05
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/dh6GgAclIG",2019/11/14 13:05
I was too excited to go sleep after attending radio program late last night. I was finally able to go sleep early in the morning until 10am. I think I’m charged now. https://t.co/DQie5uaBJh,2019/11/13 20:24
"Which play style do you prefer? 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands",2019/11/13 13:10
Thank you very much ???????????? https://t.co/pidOn0RHu9,2019/11/13 11:14
Received “Sensor” by Junji Ito who also appears as cameo in DEATH STRANDING. https://t.co/vIshe5T3y4,2019/11/12 17:38
Received ETERNAL by Ilya Kuvshinov. Thank you very much. 11/19 release. https://t.co/1otaDQTOmm,2019/11/12 17:33
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/r6jOPSku15",2019/11/11 17:05
Bought PATLABOR manga. https://t.co/r00Cx9ap1X,2019/11/11 16:08
Received Stephan King AT THE MOVIES complete guide book from TAKESHOBO. Thank you very much. https://t.co/c2FlFZynPN,2019/11/11 16:08
"Russian filmmaker and producer, Timur Bekmambetov has visited Kojima Productions. https://t.co/GsDpntK9Uy",2019/11/11 16:06
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/HtC5iZ4Rb5",2019/11/11 13:52
"Do you like BB?

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/AGTyWBaJjH",2019/11/11 9:29
"Arrived in Japan early this morning, I no longer have idea where I am at?

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/yimmgGOsYI",2019/11/10 9:24
"With security guys in SF.

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/aDw66oni2m",2019/11/9 13:22
"TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/W9FOcq9LFn",2019/11/9 11:08
"With Peter Tieryas. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/kjTqsn7FEp",2019/11/9 7:27
"DEATH STRANDING has launched worldwide now. Hope you are having fun. Pls connect the world and get connected with the world. 
TODAY, IT’S IN YOUR HANDS!

#デスストでつながれ
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/la7i54Y0yC",2019/11/8 23:41
"GO?????????????

TODAY, IT’S IN YOUR HANDS!

#デスストでつながれ
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/OcV0aEenB5",2019/11/8 14:08
"TODAY, IT’S IN YOUR HANDS!

#デスストでつながれ
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/g1qu0moAEQ",2019/11/8 3:27
"Enjoy the play and get connected! 

TODAY, IT’S IN YOUR HANDS!

#デスストでつながれ
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/UI1vuFKjPV",2019/11/8 2:13
"With Sonny, my security guy in NYC. 

TODAY, IT’S IN YOUR HANDS!

#デスストでつながれ
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/jDfsdM6ocw",2019/11/8 2:10
"TODAY, IT’S IN YOUR HANDS!

#デスストでつながれ
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/1BGHD4AKZQ",2019/11/8 1:28
"Reunited with F. Paul Wilson sensei. Connection. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/3CLiKZWde9",2019/11/6 20:37
"Hirasawa, our cinematic lead who came for World Strand Tour. He films &amp; edits by iPhone. This is the era where anyone can become the creator and introduce your work. 
TOMORROW IS IN YOUR HANDS.
#デスストでつながれ
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/CG955AJpz0",2019/11/5 21:55
"With Fatih Akin. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/CGQDL5jV62",2019/11/3 23:33
"With Edgar Wright. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/P5ooJRxgO5",2019/11/2 18:22
Long-Distance Empathy: An Interview with Hideo Kojima About DEATH STRANDING - ファミ通.com https://t.co/Yn10o4Dkex @famitsuより,2019/11/2 1:08
"Met with Mathieu Turi, the young French filmmaker. https://t.co/YHZ8LaQner",2019/11/1 20:59
